Category,Company,Job Title,Description,Time Posted,Location,Image URL,Job Link
social-media-design,Valyouu Digital,Content Strategist,We are hiring for content strategist,4 days ago,"Hyderabad, India",https://mir-s3-cdn-cf.behance.net/a3829d0a3f0a8982d940b4a0153d2fb1/d4e6e6c1-a1e2-4829-a95e-82fdb97deeb9_acc_180x180.png?h=3b0b743f5450ee26c31a0d322e179f85,https://www.behance.net/joblist/314813/Content-Strategist
social-media-design,A.P Kiids Kingdom,Graphic Designer,We are looking for Full Time Graphic Designer,6 days ago,India,https://mir-s3-cdn-cf.behance.net/25e7355d1a7140d75d28abfc4c4cad8a/f5e9e20a-f368-4d4c-a3ea-7d00854c84ec_acc_180x180.jpg?h=0ac49ff008c216a07a8264c68b834a8b,https://www.behance.net/joblist/314501/Graphic-Designer
website-design,Admaren Tech Pvt LTD,Graphics Designer,A seasoned designer with 5+ years of experience in graphic design/UX/UI/Web Design,a month ago,India,https://mir-s3-cdn-cf.behance.net/474a286c0b5da84f4372d083010b5ffa/56903d37-83e0-439f-97ab-46e5a22c936e_acc_180x180.jpg?h=d5c773a281ae312c4e0a2862df2a7326,https://www.behance.net/joblist/313373/Graphics-Designer
website-design,7EDGE Pvt Ltd,"Manager I, User Experience Design",We are seeking a UX Manager with substantial experience in UX design.,10 days ago,"Mangalore, India",https://mir-s3-cdn-cf.behance.net/cc4ed6f7d7146f96fe5998d759744215/33403c57-69ef-4e0d-9f1b-495899b7a273_acc_180x180.jpg?h=0eafd314747699b49b245b8331a8dd5e,https://www.behance.net/joblist/314477/Manager-I-User-Experience-Design
website-design,Fingerprints Future,UI/UX designer,We are looking for a an experienced UIUX designer,12 days ago,"Chennai, India",https://mir-s3-cdn-cf.behance.net/351934de1bd814ca4c21d49292ac40db/133529d7-c2f6-49bb-8382-fbda293543e3_acc_180x180.png?h=e0e56df3c5a0b2846ffdba6ed4c3ba40,https://www.behance.net/joblist/314211/UIUX-designer
website-design,Hiring Point solutions,UI/UX Designer,looking for a UI/UX Designer to turn our software into easy-to-use for our clients.,17 days ago,"New Delhi, India",https://mir-s3-cdn-cf.behance.net/9f63fcda0478f539cc14ed4e991fbfb0/e819e6f3-fd17-43b8-a382-893c1d2912f4_acc_180x180.png?h=fdf99daea1b706824791855627769656,https://www.behance.net/joblist/313977/UIUX-Designer
website-design,Firstcry.com,Product Stylist,We are looking for creative Product stylist for our team,19 days ago,"Pune, India",https://mir-s3-cdn-cf.behance.net/910e2769e604835d7b0aac7d4730585e/c45123f5-c0f3-470a-aa3d-9d859c5a9463_acc_180x180.jpg?h=a8e45860c0c9879c2d1796c6b8f64e7d,https://www.behance.net/joblist/313855/Product-Stylist
illustrations,unctrl,Graphic Designer,Looking for a Graphic designer with 1-2 years experience preferably in Advertising Design,25 days ago,"Mumbai, India",https://mir-s3-cdn-cf.behance.net/af30b307d73ea9f79e10eeb707aa3091/3515c3d3-7c39-4fe5-9ef9-7a7b94b1c8d5_acc_180x180.jpg?h=ad77ab0278b75048fb4637cd2856e9c8,https://www.behance.net/joblist/313467/Graphic-Designer
illustrations,Peppermint Productions,Graphic Illustrator,WE are looking for a graphic designer who is also good at illustration.,a month ago,"Mumbai, India",https://mir-s3-cdn-cf.behance.net/e819c354ab4763555898482ce8d3c240/b98460b5-ca97-49e0-b8e7-52528a31a8f2_acc_180x180.png?h=0cbb03d7a89e310af9ad4313bad10dd9,https://www.behance.net/joblist/313333/Graphic-Illustrator
illustrations,Dharamkot Studio,Artist in Residence and workshop Instructor (Ceramics),a unique opportunity to combine an artist residency with a teaching role,2 days ago,India,https://mir-s3-cdn-cf.behance.net/74ab77a87154bddcc9ded039dae6e9f4/f4571729-d725-4a7f-83c2-7212198cf6d1_acc_180x180.jpg?h=404d0824b82bf789e146c73432edbecd,https://www.behance.net/joblist/314927/Artist-in-Residence-and-workshop-Instructor-(Ceramics)
illustrations,Moresand Technologies,UI/UX Designer,We are looking for a creative mind has a UI/UX Designer @ Moresand Technologies,6 days ago,"Bangalore, India",https://mir-s3-cdn-cf.behance.net/e701187178cd73f4774c48666d94562c/9496d9a6-4ff5-4ccb-98ae-d2c2b4a34b89_acc_180x180.jpg?h=6369c9cf99f9a012fbe1ecacf51cf5e7,https://www.behance.net/joblist/314595/UIUX-Designer
illustrations,SEPAL,Lead Content Creator,We are looking for a talented and passionate creative professional.,14 days ago,"Hyderabad, India",https://mir-s3-cdn-cf.behance.net/67b1a47aa86680056740d348707d7dc8/d0ce0061-6b9a-4056-ac5e-622336c50540_acc_180x180.png?h=07ec22deef6f881b6ffc5d3066f971a2,https://www.behance.net/joblist/314093/Lead-Content-Creator
illustrations,Tayana Solution,Graphic Designer,We are looking for a creative and talented Graphic Designer 3-4 Yrs,a month ago,"Bhopal, India",https://mir-s3-cdn-cf.behance.net/dd4c70a43e842f792f4c6875ae93b2f5/068239a9-0d77-4cf2-ab88-5b3945cff6a7_acc_180x180.jpg?h=8123da13a8b596d541ceee03dd54358c,https://www.behance.net/joblist/313197/Graphic-Designer
illustrations,YOGI INDIA,Graphic Designer,We are seeking a talented and creative Graphic Designer to join our team.,6 days ago,"Mumbai, India",https://a5.behance.net/1cab8d04f4a66494c91872238adece74388a8257/img/profile/avatars/lasso-100.png?cb=264615658,https://www.behance.net/joblist/314669/Graphic-Designer
packaging-design,Bighatch Consulting Pvt Ltd. (ESERVZ),Graphic Designer,Graphic Designer,5 days ago,"Varanasi, India",https://mir-s3-cdn-cf.behance.net/5ac48e66081a66333bdb946ffaeb5f82/1225a965-c992-4784-b2e5-2b07c135c685_acc_180x180.png?h=6b07d708b0d809212f841e5ba50abbce,https://www.behance.net/joblist/314705/Graphic-Designer
packaging-design,E-hawkers Marketing LLP,Graphic Designer,"We're looking for a full-time, on-site or remote Graphic Designer.",14 days ago,"Indore, India",https://mir-s3-cdn-cf.behance.net/41ca96856f95228f19b9854177567082/418e22dc-bda7-4542-af3a-9d54ef0739bd_acc_180x180.png?h=f6eb0e894d255f24c304c8acd4830605,https://www.behance.net/joblist/314145/Graphic-Designer
packaging-design,Jawai Enterprises,Packaging Designer,"Packaging designer at Jawai Enterprises, creating food & beverage packaging designs.",17 days ago,"Mumbai, India",https://mir-s3-cdn-cf.behance.net/89a239d80b44e17af8272931ef529308/83079adc-4f44-4051-b0bc-bf15d5d4ed93_acc_180x180.jpg?h=338aef42156a6c0336a243760b1b5893,https://www.behance.net/joblist/313957/Packaging-Designer
packaging-design,Firstcry.com,Sr.Graphic Designer,We are looking for creative Sr.Graphic Designer,a month ago,"Pune, India",https://mir-s3-cdn-cf.behance.net/acbc54bf8cd5de39f40ddaf51bb319a5/761b3f1e-89f5-4aca-b1a4-34a04413220e_acc_180x180.jpg?h=0a895dd306819a9359a0ef40524d2eae,https://www.behance.net/joblist/313449/SrGraphic-Designer
packaging-design,The Grey Metaphor,Graphic Designer,We are looking for Graphic Designer who specialise in Social Media Design,a month ago,"Ahmedabad, India",https://mir-s3-cdn-cf.behance.net/9ead17c68a2a369d74b16668c5fe2961/b9031cba-fe11-4d21-b967-7ee766e41606_acc_180x180.jpg?h=0d0480fe340b405943d5898647a0de22,https://www.behance.net/joblist/313273/Graphic-Designer
packaging-design,Einstein Box,Graphic Designer,We are Looking a Talented and Dedicated Graphic Designer who is best in their work.,a month ago,India,https://mir-s3-cdn-cf.behance.net/1e13f04d4936ecdff8f415b873e84c0c/6123caaf-8416-4c6c-9daf-aefc603a1b3d_acc_180x180.png?h=cf7b2a9346135cc22ce5ba2a885cac7c,https://www.behance.net/joblist/313237/Graphic-Designer
landing-page-design,F60HOSTLLP,SR UI/UX Designer,We are seeking a talented UI/UX Designer to join our design team,2 days ago,India,https://mir-s3-cdn-cf.behance.net/4ceda98222319f9bc5599e1919776c80/a582d488-d27d-45c3-b305-3bab26858d31_acc_180x180.jpg?h=ae53fc09628e4c18573c19bbe378289e,https://www.behance.net/joblist/314929/SR-UIUX-Designer
landing-page-design,wooing,UI/UX Designer,🎨 UI/UX Designer Wanted: Help Us Build Something Truly Meaningful!,20 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/e2aee49c597d7a78383b586600bc8c83/c092ef6e-7a3b-4228-99f8-727cf81900cc_acc_180x180.png?h=4cfdaacb41460646dc4729e0e9809fa5,https://www.behance.net/joblist/313709/UIUX-Designer
landing-page-design,stellenmanufaktur,Webdesigner und Webprogrammierer gesucht (m/w/d),"Wir sind ein aufstrebendes Unternehmen, das marketingorientierte Internetlösungen in ...",3 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/564ef7416ab9bd3ca5c232708aa015fe/200c4147-eda4-4325-a38b-9fd82a5609d0_acc_180x180.png?h=50a0d22e3a559b7804f02c5ce344d0af,https://www.behance.net/joblist/26595/Webdesigner-und-Webprogrammierer-gesucht-(mwd)
